tag_kaggle,officiel_kaggle,chemin_kaggle,occurrence_kaggle,couverture_kaggle,tag_huggingface,occurrence_huggingface,similarite
cnn,True,technique > neural networks > cnn,1444,0.21%,cn,13,0.8
object detection,True,task > object-detection,1257,0.18%,object-detection,1555,1.0
art,True,subject > arts and entertainment > art,1168,0.17%,ar,1782,0.8
art,True,subject > arts and entertainment > art,1168,0.17%,art,3,1.0
art,True,subject > arts and entertainment > art,1168,0.17%,at,1,0.8
audio,True,data type > audio,1068,0.15%,audio,27413,1.0
text classification,True,task > text-classification,1036,0.15%,text-classification,11276,1.0
text classification,True,task > text-classification,1036,0.15%,image-classification,3198,0.811
text classification,True,task > text-classification,1036,0.15%,token-classification,2334,0.865
text classification,True,task > text-classification,1036,0.15%,zero-shot-classification,806,0.8
text classification,True,task > text-classification,1036,0.15%,video-classification,666,0.811
text classification,True,task > text-classification,1036,0.15%,topic-classification,812,0.811
text classification,True,task > text-classification,1036,0.15%,sentiment-classification,336,0.829
text classification,True,task > text-classification,1036,0.15%,intent-classification,82,0.895
history,True,subject > people and society > social science > history,1000,0.14%,story,1,0.833
video,True,data type > video data,987,0.14%,video,17220,1.0
video,True,data type > video data,987,0.14%,vidor,1,0.8
languages,True,subject > culture and humanities > languages,898,0.13%,no-language,1,0.842
image segmentation,True,task > image-segmentation,848,0.12%,image-segmentation,1144,1.0
image segmentation,True,task > image-segmentation,848,0.12%,instance-segmentation,47,0.811
graph,True,data type > graph,589,0.08%,graph-ml,326,0.833
lstm,True,technique > neural networks > lstm,540,0.08%,lsm,16,0.857
text generation,True,task > text-generation,502,0.07%,text-generation,17128,1.0
text generation,True,task > text-generation,502,0.07%,text2text-generation,54,0.848
africa,True,geography and places > africa,495,0.07%,africa,1,1.0
sql,True,subject > science and technology > computer science > programming > sql,476,0.07%,sl,403,0.8
sql,True,subject > science and technology > computer science > programming > sql,476,0.07%,sq,207,0.8
sql,True,subject > science and technology > computer science > programming > sql,476,0.07%,sql,2,1.0
yolo,True,architecture > yolo,448,0.06%,olo,48,0.857
yolo,True,architecture > yolo,448,0.06%,yol,1,0.857
feature extraction,True,task > feature-extraction,376,0.05%,feature-extraction,2098,1.0
feature extraction,True,task > feature-extraction,376,0.05%,image-feature-extraction,314,0.872
json,True,packages > json,367,0.05%,json,62130,1.0
robotics,True,subject > science and technology > engineering > robotics,315,0.04%,robotics,6198,1.0
multilabel classification,True,task > multilabel-classification,314,0.04%,multi-class-classification,1034,0.875
multilabel classification,True,task > multilabel-classification,314,0.04%,multi-label-classification,836,1.0
multilabel classification,True,task > multilabel-classification,314,0.04%,multi-class-image-classification,173,0.83
multilabel classification,True,task > multilabel-classification,314,0.04%,tabular-multi-label-classification,65,0.873
multilabel classification,True,task > multilabel-classification,314,0.04%,multi-label-image-classification,27,0.906
russia,True,geography and places > asia > russia,312,0.04%,russian,1,0.923
segmentation,True,task > segmentation,312,0.04%,image-segmentation,1144,0.828
question answering,True,task > question-answering,308,0.04%,question-answering,10296,1.0
question answering,True,task > question-answering,308,0.04%,visual-question-answering,73,0.85
question answering,True,task > question-answering,308,0.04%,table-question-answering,1110,0.872
question answering,True,task > question-answering,308,0.04%,document-question-answering,26,0.81
audio classification,True,task > audio-classification,307,0.04%,tabular-classification,5257,0.8
audio classification,True,task > audio-classification,307,0.04%,audio-classification,882,1.0
audio classification,True,task > audio-classification,307,0.04%,video-classification,666,0.842
audio classification,True,task > audio-classification,307,0.04%,audio-intent-classification,5,0.864
gender,True,subject > people and society > people > gender,296,0.04%,en-de,1,0.8
gan,True,technique > neural networks > gan,295,0.04%,ga,267,0.8
gan,True,technique > neural networks > gan,295,0.04%,gn,110,0.8
gan,True,technique > neural networks > gan,295,0.04%,an,72,0.8
gan,True,technique > neural networks > gan,295,0.04%,gan,38,1.0
cv2,True,packages > cv2,244,0.03%,cv,95,0.8
cv2,True,packages > cv2,244,0.03%,v2,1,0.8
gpu,True,subject > science and technology > computer science > accelerators > gpu,237,0.03%,gu,392,0.8
nltk,True,packages > nltk,224,0.03%,ntk,8,0.857
nltk,True,packages > nltk,224,0.03%,nlk,4,0.857
rnn,True,technique > neural networks > rnn,206,0.03%,nn,147,0.8
rnn,True,technique > neural networks > rnn,206,0.03%,rn,74,0.8
rnn,True,technique > neural networks > rnn,206,0.03%,rnn,1,1.0
image augmentation,True,task > image-augmentation,201,0.03%,image-segmentation,1144,0.882
russian,True,language > russian,193,0.03%,russian,1,1.0
automatic speech recognition,True,task > automatic-speech-recognition,178,0.03%,automatic-speech-recognition,2201,1.0
video classification,True,task > video-classification,177,0.03%,text-classification,11276,0.811
video classification,True,task > video-classification,177,0.03%,image-classification,3198,0.842
video classification,True,task > video-classification,177,0.03%,audio-classification,882,0.842
video classification,True,task > video-classification,177,0.03%,video-classification,666,1.0
video classification,True,task > video-classification,177,0.03%,intent-classification,82,0.821
translation,True,task > translation,164,0.02%,auto_translation,1,0.846
translation,True,task > translation,164,0.02%,translation,3742,1.0
translation,True,task > translation,164,0.02%,translation-pair,1,0.846
image-to-text,True,task > image-to-text,160,0.02%,image-to-text,2605,1.0
image-to-text,True,task > image-to-text,160,0.02%,image-text-to-text,564,0.846
tabular classification,True,task > tabular-classification,160,0.02%,tabular-classification,5257,1.0
tabular classification,True,task > tabular-classification,160,0.02%,audio-classification,882,0.8
tabular classification,True,task > tabular-classification,160,0.02%,multi-label-classification,836,0.8
tabular classification,True,task > tabular-classification,160,0.02%,tabular-multi-class-classification,107,0.808
tabular classification,True,task > tabular-classification,160,0.02%,tabular-multi-label-classification,65,0.808
text-to-text generation,True,task > text-to-text-generation,158,0.02%,text-generation,17128,0.824
text-to-text generation,True,task > text-to-text-generation,158,0.02%,text2text-generation,54,0.923
svm,True,technique > svm,156,0.02%,sv,696,0.8
svm,True,technique > svm,156,0.02%,sm,63,0.8
bert,True,architecture > bert,155,0.02%,ber,49,0.857
bert,True,architecture > bert,155,0.02%,bet,6,0.857
bert,True,architecture > bert,155,0.02%,ert,6,0.857
bert,True,architecture > bert,155,0.02%,brt,5,0.857
reinforcement learning,True,task > reinforcement-learning,154,0.02%,reinforcement-learning,515,1.0
pca,True,technique > pca,117,0.02%,ca,621,0.8
pca,True,technique > pca,117,0.02%,pa,333,0.8
pca,True,technique > pca,117,0.02%,pca,5,1.0
retrieval question answering,True,task > retrieval-question-answering,117,0.02%,visual-question-answering,73,0.816
hugging face,True,packages > hugging face,114,0.02%,huggingfaceh4,2,0.917
summarization,True,task > summarization,110,0.02%,summarization,2743,1.0
multilingual,True,language > multilingual,104,0.01%,multi-lingual,1,1.0
multilingual,True,language > multilingual,104,0.01%,highly_multilingual,1,0.8
multilingual,True,language > multilingual,104,0.01%,not_multilingual,1,0.889
dnn,True,technique > neural networks > dnn,99,0.01%,nn,147,0.8
dnn,True,technique > neural networks > dnn,99,0.01%,dnn,6,1.0
text conversation,True,task > text-conversation,96,0.01%,text-generation,17128,0.8
text conversation,True,task > text-conversation,96,0.01%,conversational,38,0.8
golf,True,subject > health and fitness > exercise > sports > golf,88,0.01%,gof,17,0.857
golf,True,subject > health and fitness > exercise > sports > golf,88,0.01%,gol,6,0.857
other,True,task > other,84,0.01%,other,2276,1.0
tpu,True,subject > science and technology > computer science > accelerators > tpu,82,0.01%,tpu,11,1.0
image-to-image,True,task > image-to-image,82,0.01%,image-to-image,827,1.0
image-to-image,True,task > image-to-image,82,0.01%,image-text-to-image,34,0.857
tennis,True,subject > health and fitness > exercise > sports > tennis,79,0.01%,en-is,1,0.8
dance,True,subject > arts and entertainment > dance,71,0.01%,lance,41,0.8
dance,True,subject > arts and entertainment > dance,71,0.01%,dane,1,0.889
text-to-speech,True,task > text-to-speech,71,0.01%,text-to-speech,1205,1.0
sentence similarity,True,task > sentence-similarity,69,0.01%,sentence-similarity,723,1.0
knn,True,technique > knn,65,0.01%,kn,380,0.8
knn,True,technique > knn,65,0.01%,nn,147,0.8
knn,True,technique > knn,65,0.01%,knn,9,1.0
token classification,True,task > token-classification,59,0.01%,text-classification,11276,0.865
token classification,True,task > token-classification,59,0.01%,token-classification,2334,1.0
token classification,True,task > token-classification,59,0.01%,topic-classification,812,0.842
token classification,True,task > token-classification,59,0.01%,intent-classification,82,0.872
text-to-image,True,task > text-to-image,59,0.01%,text-to-image-2m,1,0.917
text-to-image,True,task > text-to-image,59,0.01%,text-to-image,5419,1.0
text-to-image,True,task > text-to-image,59,0.01%,image-text-to-image,34,0.815
urdu,True,language > urdu,55,0.01%,urd,123,0.857
urdu,True,language > urdu,55,0.01%,udu,19,0.857
urdu,True,language > urdu,55,0.01%,uru,1,0.857
unet,True,architecture > unet,51,0.01%,une,5,0.857
unet,True,architecture > unet,51,0.01%,net,2,0.857
audio event classification,True,task > audio-event-classification,50,0.01%,audio-classification,882,0.884
audio event classification,True,task > audio-event-classification,50,0.01%,intent-classification,82,0.818
audio event classification,True,task > audio-event-classification,50,0.01%,audio-intent-classification,5,0.898
math,True,task > evaluation > math,48,0.01%,mah,20,0.857
math,True,task > evaluation > math,48,0.01%,mat,6,0.857
math,True,task > evaluation > math,48,0.01%,mth,1,0.857
math,True,task > evaluation > math,48,0.01%,math,1,1.0
text segmentation,True,task > text-segmentation,39,0.01%,text-generation,17128,0.8
image depth estimation,True,task > image-depth-estimation,39,0.01%,depth-estimation,155,0.857
image feature vector,True,task > image-feature-vector,38,0.01%,image-feature-extraction,314,0.8
resnet,True,architecture > resnet,35,0.00%,en-et,1,0.8
thai,True,language > thai,31,0.00%,tha,182,0.857
thai,True,language > thai,31,0.00%,hai,3,0.857
thai,True,language > thai,31,0.00%,tai,2,0.857
multitask classification,True,task > multitask-classification,31,0.00%,multi-class-classification,1034,0.894
multitask classification,True,task > multitask-classification,31,0.00%,multi-label-classification,836,0.851
multitask classification,True,task > multitask-classification,31,0.00%,multi-class-image-classification,173,0.808
audio-to-audio,True,task > audio-to-audio,21,0.00%,audio-to-audio,338,1.0
re,True,packages > re,20,0.00%,rue,53,0.8
re,True,packages > re,20,0.00%,bre,40,0.8
re,True,packages > re,20,0.00%,rej,25,0.8
re,True,packages > re,20,0.00%,are,18,0.8
re,True,packages > re,20,0.00%,yre,18,0.8
re,True,packages > re,20,0.00%,rel,17,0.8
re,True,packages > re,20,0.00%,hre,11,0.8
re,True,packages > re,20,0.00%,nre,11,0.8
re,True,packages > re,20,0.00%,reg,10,0.8
re,True,packages > re,20,0.00%,cre,8,0.8
re,True,packages > re,20,0.00%,rme,7,0.8
re,True,packages > re,20,0.00%,dre,5,0.8
re,True,packages > re,20,0.00%,ore,5,0.8
re,True,packages > re,20,0.00%,res,5,0.8
re,True,packages > re,20,0.00%,rey,5,0.8
re,True,packages > re,20,0.00%,rei,4,0.8
re,True,packages > re,20,0.00%,sre,4,0.8
re,True,packages > re,20,0.00%,fre,2,0.8
re,True,packages > re,20,0.00%,rea,2,0.8
re,True,packages > re,20,0.00%,reb,2,0.8
re,True,packages > re,20,0.00%,ree,2,0.8
re,True,packages > re,20,0.00%,ren,2,0.8
re,True,packages > re,20,0.00%,roe,2,0.8
re,True,packages > re,20,0.00%,ire,1,0.8
re,True,packages > re,20,0.00%,kre,1,0.8
re,True,packages > re,20,0.00%,lre,1,0.8
re,True,packages > re,20,0.00%,pre,1,0.8
re,True,packages > re,20,0.00%,rem,1,0.8
re,True,packages > re,20,0.00%,ure,1,0.8
re,True,packages > re,20,0.00%,xre,1,0.8
vae,True,architecture > vae,20,0.00%,ve,74,0.8
vae,True,architecture > vae,20,0.00%,ae,64,0.8
vae,True,architecture > vae,20,0.00%,va,9,0.8
vae,True,architecture > vae,20,0.00%,vae,1,1.0
pil,True,packages > PIL,18,0.00%,pl,852,0.8
pil,True,packages > PIL,18,0.00%,pi,42,0.8
pil,True,packages > PIL,18,0.00%,pil,6,1.0
zero-shot text classification,True,task > zero-shot-text-classification,17,0.00%,text-classification,11276,0.818
zero-shot text classification,True,task > zero-shot-text-classification,17,0.00%,zero-shot-classification,806,0.917
zero-shot text classification,True,task > zero-shot-text-classification,17,0.00%,zero-shot-image-classification,268,0.868
image classification logits,True,task > image-classification-logits,16,0.00%,image-classification,3198,0.864
os,True,packages > os,16,0.00%,mos,66,0.8
os,True,packages > os,16,0.00%,bos,63,0.8
os,True,packages > os,16,0.00%,os,59,1.0
os,True,packages > os,16,0.00%,oss,27,0.8
os,True,packages > os,16,0.00%,cos,26,0.8
os,True,packages > os,16,0.00%,kos,24,0.8
os,True,packages > os,16,0.00%,tos,20,0.8
os,True,packages > os,16,0.00%,ots,19,0.8
os,True,packages > os,16,0.00%,zos,19,0.8
os,True,packages > os,16,0.00%,gos,16,0.8
os,True,packages > os,16,0.00%,wos,15,0.8
os,True,packages > os,16,0.00%,ons,13,0.8
os,True,packages > os,16,0.00%,dos,11,0.8
os,True,packages > os,16,0.00%,pos,10,0.8
os,True,packages > os,16,0.00%,los,6,0.8
os,True,packages > os,16,0.00%,sos,6,0.8
os,True,packages > os,16,0.00%,oks,5,0.8
os,True,packages > os,16,0.00%,osi,5,0.8
os,True,packages > os,16,0.00%,nos,4,0.8
os,True,packages > os,16,0.00%,ors,4,0.8
os,True,packages > os,16,0.00%,oso,4,0.8
os,True,packages > os,16,0.00%,ost,4,0.8
os,True,packages > os,16,0.00%,osx,4,0.8
os,True,packages > os,16,0.00%,ofs,3,0.8
os,True,packages > os,16,0.00%,fos,2,0.8
os,True,packages > os,16,0.00%,osa,2,0.8
os,True,packages > os,16,0.00%,osp,2,0.8
os,True,packages > os,16,0.00%,aos,1,0.8
os,True,packages > os,16,0.00%,ojs,1,0.8
os,True,packages > os,16,0.00%,osc,1,0.8
os,True,packages > os,16,0.00%,osn,1,0.8
vit,True,architecture > vit,14,0.00%,it,1436,0.8
vit,True,architecture > vit,14,0.00%,vi,1350,0.8
vit,True,architecture > vit,14,0.00%,vit,1,1.0
multiple,True,architecture > multiple,10,0.00%,multili,1,0.8
distilbert,True,architecture > distilbert,9,0.00%,distilabel,80,0.8
imagenet 2012 classification,True,task > imagenet-2012-classification,8,0.00%,image-classification,3198,0.844
text fill-mask,True,task > text-fill-mask,7,0.00%,fill-mask,735,0.8
sam,True,architecture > sam,7,0.00%,am,346,0.8
sam,True,architecture > sam,7,0.00%,sa,208,0.8
sam,True,architecture > sam,7,0.00%,sm,63,0.8
sam,True,architecture > sam,7,0.00%,sam,3,1.0
igbo,True,language > igbo,6,0.00%,ibo,117,0.857
igbo,True,language > igbo,6,0.00%,gbo,10,0.857
igbo,True,language > igbo,6,0.00%,igb,7,0.857
igbo,True,language > igbo,6,0.00%,igo,2,0.857
tqdm,True,packages > tqdm,5,0.00%,tdm,1,0.857
twi,True,language > twi,5,0.00%,tw,134,0.8
twi,True,language > twi,5,0.00%,ti,119,0.8
twi,True,language > twi,5,0.00%,twi,78,1.0
bart,True,architecture > bart,5,0.00%,bar,72,0.857
bart,True,architecture > bart,5,0.00%,brt,5,0.857
bart,True,architecture > bart,5,0.00%,art,3,0.857
bart,True,architecture > bart,5,0.00%,bat,1,0.857
glob,True,packages > glob,4,0.00%,lob,13,0.857
glob,True,packages > glob,4,0.00%,glo,5,0.857
glob,True,packages > glob,4,0.00%,gob,1,0.857
sys,True,packages > sys,3,0.00%,ss,87,0.8
sys,True,packages > sys,3,0.00%,sys,5,1.0
i3d,True,architecture > i3d,3,0.00%,id,1083,0.8
i3d,True,architecture > i3d,3,0.00%,3d,555,0.8
deit,True,architecture > deit,3,0.00%,dei,5,0.857
deit,True,architecture > deit,3,0.00%,eit,5,0.857
plyr,True,packages > plyr,3,0.00%,plr,6,0.857
plyr,True,packages > plyr,3,0.00%,ply,1,0.857
knitr,True,packages > knitr,3,0.00%,nli_tr,1,0.8
keywordspottingnet,True,architecture > keywordspottingnet,3,0.00%,keyword-spotting,23,0.909
ssd,True,architecture > ssd,2,0.00%,sd,149,0.8
ssd,True,architecture > ssd,2,0.00%,ss,87,0.8
ssd,True,architecture > ssd,2,0.00%,ssd,16,1.0
language,True,language,2,0.00%,no-language,1,0.889
relu,True,architecture > relu,2,0.00%,rel,17,0.857
mit,True,architecture > mit,2,0.00%,it,1436,0.8
mit,True,architecture > mit,2,0.00%,mt,236,0.8
mit,True,architecture > mit,2,0.00%,mi,90,0.8
mit,True,architecture > mit,2,0.00%,mit,51532,1.0
lao,True,language > lao,2,0.00%,la,232,0.8
lao,True,language > lao,2,0.00%,lo,142,0.8
lao,True,language > lao,2,0.00%,lao,86,1.0
ganda,True,language > ganda,1,0.00%,gandalf,2,0.833
ganda,True,language > ganda,1,0.00%,grand,2,0.8
elmo,True,architecture > elmo,1,0.00%,lmo,81,0.857
elmo,True,architecture > elmo,1,0.00%,elm,5,0.857
elmo,True,architecture > elmo,1,0.00%,elo,1,0.857
xcit,True,architecture > xcit,1,0.00%,xct,1,0.857
gc,True,packages > gc,1,0.00%,guc,49,0.8
gc,True,packages > gc,1,0.00%,grc,46,0.8
gc,True,packages > gc,1,0.00%,gcr,37,0.8
gc,True,packages > gc,1,0.00%,gcf,27,0.8
gc,True,packages > gc,1,0.00%,cgc,22,0.8
gc,True,packages > gc,1,0.00%,dgc,22,0.8
gc,True,packages > gc,1,0.00%,gvc,21,0.8
gc,True,packages > gc,1,0.00%,bgc,18,0.8
gc,True,packages > gc,1,0.00%,mgc,17,0.8
gc,True,packages > gc,1,0.00%,sgc,17,0.8
gc,True,packages > gc,1,0.00%,ngc,12,0.8
gc,True,packages > gc,1,0.00%,ogc,8,0.8
gc,True,packages > gc,1,0.00%,gcd,6,0.8
gc,True,packages > gc,1,0.00%,tgc,6,0.8
gc,True,packages > gc,1,0.00%,agc,5,0.8
gc,True,packages > gc,1,0.00%,gcn,5,0.8
gc,True,packages > gc,1,0.00%,gec,4,0.8
gc,True,packages > gc,1,0.00%,gwc,4,0.8
gc,True,packages > gc,1,0.00%,gce,2,0.8
gc,True,packages > gc,1,0.00%,ghc,2,0.8
gc,True,packages > gc,1,0.00%,gac,1,0.8
gc,True,packages > gc,1,0.00%,gcc,1,0.8
gc,True,packages > gc,1,0.00%,gcl,1,0.8
gc,True,packages > gc,1,0.00%,gdc,1,0.8
gc,True,packages > gc,1,0.00%,gic,1,0.8
gc,True,packages > gc,1,0.00%,glc,1,0.8
gc,True,packages > gc,1,0.00%,gnc,1,0.8
gc,True,packages > gc,1,0.00%,goc,1,0.8
gc,True,packages > gc,1,0.00%,gsc,1,0.8
opt,True,architecture > opt,1,0.00%,pt,1673,0.8
opt,True,architecture > opt,1,0.00%,opt,1,1.0
tvn-1,True,architecture > tvn-1,1,0.00%,tvn,4,0.857
text-to-mel,True,task > text-to-mel,1,0.00%,text-to-image,5419,0.8
ewe,True,language > ewe,1,0.00%,ee,100,0.8
ewe,True,language > ewe,1,0.00%,ewe,67,1.0
icelandic,True,language > icelandic,1,0.00%,iceland,2,0.875
bit,True,architecture > bit,1,0.00%,it,1436,0.8
bit,True,architecture > bit,1,0.00%,bi,48,0.8
bit,True,architecture > bit,1,0.00%,bit,6,1.0
